at,userName,appVersion,score,content
2025-12-01 09:23:22,Exselvernaldo,4.14.0,1,logout lalu ketika login selalu error
2025-12-01 09:22:03,RENDY IRAWAN S,4.13.1,1,bosok
2025-12-01 09:20:54,Sharly Marchela,4.14.0,3,Kesel banget ihh kalo ada pembaruan data atau mau daftar autodebit selalu eror cape
2025-12-01 09:20:34,Cindy Annigi,4.13.1,2,"kenapa auto logout akun saya, padahal gak di apa apain dan gakbisa daftar antrian"
2025-12-01 09:19:08,Elang Maulana,4.14.0,1,"Apk dari kepemerintahan semuanya ngeleg, kayak gak niat buat aplikasi."
2025-12-01 09:12:41,M.ibrahim Zidane,4.14.0,1,aneh ngga bisa daftar
2025-12-01 09:12:13,Mizan,4.14.0,2,Ndlogok kode verifikasi malah kekirim ke nomor orang lain ki priye
2025-12-01 09:10:55,Rindhy Dwi Noviana,4.14.0,1,"mau ganti nomor HP aja nggak bisa padahal sudah mengisi syarat2 sesuai dengan arahan pandawa, tinggal klik proses selesai malah tulisan erorr field tanggal lahir belum diisi padahal dikolom tidak ada tulisan tanggal lahir. aneh"
2025-12-01 09:08:04,lilismaryantik55,4.14.0,5,Satpam Ramah..Jkn Mobile Mantap
2025-12-01 09:07:20,Arie Ollong,4.14.0,5,sangat bagus
2025-12-01 09:01:05,Katemi Wanita harimau,,1,"data ada dua jiwa tapi tidak terbaca,, sering offline dan coba lagi"
2025-12-01 08:59:25,Tiyar,,3,sering eror masa harus log in Mulu Hadehhh
2025-12-01 08:54:59,Neneng Setiawati,,5,Good
2025-12-01 08:54:21,Upik Supriati,4.14.0,3,"susah banget mau daftar login, sudah verifikasi email error ulang lagi, ulang lagi. sampai 10 kali belum berhasil. klo sakit parah gimana ini."
2025-12-01 08:49:44,arma syafiq,4.14.0,5,cepat dan mudah
2025-12-01 08:49:28,Riska Rahmawati,,2,"Aplikasi sering logout sendiri, mohon diperbaiki saya udh ngisi data buat antri malah keluar dan akhirnya datanya hilang harus ngantri lagi"
2025-12-01 08:47:25,Neneng Suryani,4.14.0,1,ribet pake online seperti ini pas mau di pake malah log out sendiri hrs daftar lagi ....pas mau daftar lg loading nya minta ampun malah error kalo yg sakit nya udah parah bgt keburu pingsan ini mah ngurusin dulu daftar online yg sering gagal terus menerus🤦🏻‍♀️
2025-12-01 08:44:38,KhamdanKrj Geografi21,,5,mantap memudahkan pengguna
2025-12-01 08:44:07,Kasman Andari,4.14.0,1,masa setiap kali login harus verifikasi terus
2025-12-01 08:38:27,Harry Prasetyo bin Sihadi Hadi Suwito,4.14.0,1,buruk.. tahu2 logout sendiri mau login susah amat padahal lg di butuh kan buat berobat... sekarang apa² kudu daftar online tp SDMny belum siap jd ruwet sendiri... remuk²..
2025-12-01 08:36:57,Amir Setiawan,4.14.0,1,"JKN gak guna, udahmah lagi buru buru mau darurat di RS, gak bisa masuk log out terus, giliran bisa login malah gak bisa di gunain, bikin emosi. kalo belum siap pemerintah gak usah sok soan pake aplikasi segala macem, kalo sulit untuk di akses buat apa, cuma nyusahin."
2025-12-01 08:35:38,X Suganda,,2,apk apa si ini sering banget eror.. mau digunakan juga bikin susah
2025-12-01 08:35:15,Nurul Hidayah,4.14.0,1,"pdhal kmrin udh login, tbtb hari ini logout sendiri. mau login lagi diblg offline terusss!!!!!"
2025-12-01 08:34:32,Arif Rudyansa,4.14.0,1,"sering gak muncul putih terus layar nya, kebanyakan muter"", tiba"" keluar sendiri trs disuruh daftar ulang, saya sudah daftar online tapi gak kebaca di RS nya. tolong dibenarkan"
2025-12-01 08:33:47,Hermalia Putri,4.14.0,1,makin kesini makin susah di log in ngeleg
2025-12-01 08:33:12,Adi Kudil,4.14.0,1,APLIKASI KEBANYAKAN BUG GAJELAS NGEBANTU JUGA KAGA
2025-12-01 08:31:26,Khoirul Anam 015,4.14.0,1,"aplikasi tersampah menurut gua yah ini, masak ke puskesmas daftar lewat aplikasi dulu ambil antrean sedangkan aplikasi lemot gk ngotak ujung2nya gak bisa data belum masuk yah terpaksa ikut umum biar cepet , plis kalau antri2 gak usah pakek aplikasi trobel gini"
2025-12-01 08:31:01,Aam Amanisah Zahra,,1,kenapa ini aplikasi eror mulu saya mau bayar iuran loh malah log out teruss ampun parahh jelek bgt dari semalem masih aja begitu
2025-12-01 08:30:45,Pola Kesana,,1,lemot
2025-12-01 08:30:16,Faiz Nabil Ridwan082,4.14.0,1,aplikasi selalu lemot padahal jaringan bagus ANEH
2025-12-01 08:29:39,Edy Sucipto,4.14.0,5,Sangat membantu dalam proses penangan kasus
2025-12-01 08:29:37,Muhammadin Laisari,4.14.0,5,sangat membantu sekali
2025-12-01 08:28:53,tio ahmad,4.14.0,1,tolong ini aplikasi engga bisa masuk
2025-12-01 08:28:12,novy azhyzah,4.14.0,2,"kode captcha tidak mau keluar, mohon solusinya. saya lupa password."
2025-12-01 08:28:05,seputar bola,4.14.0,1,"kenapa ya kok sering suruh login, pdahal sudah pernah login, masa 1 hari daftar login 3x 😭 itupun eror ndak bisa login"
2025-12-01 08:27:19,tri Harmadi,4.14.0,5,"skrng apa2 harus pake JKN tp peforma nya kurang, menyulitkan kami pas mau registrasi 😌"
2025-12-01 08:26:35,Arsyad channel,,1,"login ajah keluar terus, ga bisa di akses👎"
2025-12-01 08:25:40,Ricky Aditya Pradana,4.14.0,1,"kalo habis perbaikan jaringan pasti aja logout sendiri akun nya, mau login juga gabisa karena server offline mulu, tolong lah di benerin servernya, orang mau berobat ambil antrian online jadi susah!!!!"
2025-12-01 08:25:29,Muhammad Rafli,4.14.0,1,sinyal sudah oke tapi gangguan trus bahkan disaat mau daftar ke poli tidak bisa terhubung dengan rs dan server sering ke logout sendiri.
2025-12-01 08:24:50,aysiahtirta 888,,1,"Halo, saya masih mengalami masalah update alamat di aplikasi. Setiap submit selalu batal. Mohon dibantu supaya alamat saya sesuai KTP. Terima kasih banyak"
