at,userName,appVersion,score,content,services,app_performance,registration_verification
2025-12-01 18:51:29,Aep Aradea,4.14.0,5,sangat membantu,1,,
2025-12-01 18:48:19,Kian Santang,,1,"sms verifikasi lamaaaa banget , udh 3 x gak nongol'' sms nya !!",,,-1
2025-12-01 18:43:57,Fetriko Riko,4.14.0,5,aplikasi ok,,,
2025-12-01 18:38:26,Putri Hana Nabila,4.14.0,5,sangnt berguna,1,,
2025-12-01 18:32:09,Ramlan002 Ramlan,4.14.0,5,baik,,,
2025-12-01 18:14:03,Yunisa Nisa,,1,knp slalu tekeluar setiap mau di pakei slalu daptar ulang susah lagi,,-1,-1
2025-12-01 18:12:22,YT SyarifIndo,4.14.0,5,bagus,,,
2025-12-01 18:10:52,Rudi Rudi,4.14.0,5,sangat puas,,,
2025-12-01 18:09:41,Kai Mochi,,1,lemot banget gustiii login mau liat antrian rujukan,-1,-1,-1
2025-12-01 18:05:03,Agus Said,4.14.0,5,sangat membantu biar cepat antrian,1,,
2025-12-01 17:57:46,Raden Suwono,4.14.0,5,jadi lebih mudah dalam berobat .terimakasih jkn mobile 🙏🙏,1,,
2025-12-01 17:55:49,Arie Sheva,,5,aplikasi sangat membantu,1,,
2025-12-01 17:51:06,syifaalifa_26,4.14.0,5,sangat membantu,1,,
2025-12-01 17:36:11,Sutrizno 1897,4.14.0,1,udah d update...pas masuk malah akun tidak terdaftar harus daftar ulang lagi.. udah d isi malah tidak terdaftar di disdukcapil...,-1,-1,-1
2025-12-01 17:31:30,Sien Shippuden,4.14.0,4,keren coy,,,
2025-12-01 17:23:49,Zairullah Malik,4.14.0,5,mantap,,,
2025-12-01 17:11:52,Ralis Azzamfahmi,4.14.0,4,ok,,,
2025-12-01 17:11:23,Evan Sinyo,,1,"Aplikasi kecil, tapi butuh internet dgn speed yg besar..",,-1,
2025-12-01 17:02:19,Indri Rahayu,4.14.0,5,sangat puas,,,
2025-12-01 16:53:00,Agus Arsianto,4.14.0,1,sudah di update susah masuk,,-1,-1
2025-12-01 16:43:27,Gula jawa,,5,semoga jadi makin lebih baik,,,
2025-12-01 16:42:28,Sri Desi Susanti,4.14.0,2,"kenapa sih mau ganti password email gak bisa dari SMS gak muncul muncul juga, padahal sinyal bagus. pake biometrik belom terdaftar katanya padahal sebelumnya bisa. kenapa sih apk pemerintah suka kek gini terus. sebelumnya jmo sekarang ini. padahal suka login terus.",,,-1
2025-12-01 16:06:44,ayu riska,4.14.0,5,bagus,,,
2025-12-01 15:59:58,Apriliani Wulandari,4.14.0,5,bagus,,,
2025-12-01 15:55:13,roli satu,4.14.0,5,mantap,,,
2025-12-01 15:54:04,Andriansyah Saputra,4.14.0,1,anda blm memiliki rujukan dan surat kontrol.kenapa ya,-1,,
2025-12-01 15:51:16,Elzayan,4.14.0,4,sangat membantu,1,,
2025-12-01 15:50:23,Nova Lina,4.14.0,2,mobile kkn nya tindak bisa di login lagi,,-1,-1
2025-12-01 15:43:05,Banta Sitanggang,4.14.0,5,mantap,,,
2025-12-01 15:40:47,Miftahul Janah,4.14.0,5,"sangat amat membantu,semua jadi lebih praktis,, terimakasih tetap pertahankan yaa",1,,
2025-12-01 15:36:17,Situmorang Ade,4.14.0,1,"berobat di JEC mata Cinere malah di suruh bayar obat 7rts lebih,seharusnya gratis. gunaya nya bpjs itu apa????? malah di suruh bayar. brengsek lah parah dokter mata itu.",-1,,
2025-12-01 15:29:57,Wiyono,,5,"semakin hari apk ini semakin bagus,",,,
2025-12-01 15:25:11,Tuti Nurhayati,,1,dari kemarin gak bisa dibuka,,-1,
2025-12-01 15:23:07,Yudi Mayrinto,4.14.0,5,Aplikasi JKN,,,
2025-12-01 15:22:22,Clarissa Violyn Tambunan,,4,"saya bingung mau lihat masa Surat rujukan di mobile jkn itu bagaimana caranya ya? soalnya pas saya lihat lihat fitur2nya tidak ada tulisan ""rujukan"" sesuai dengan perintah dari google 🙏",-1,,
2025-12-01 15:21:16,Suparto Kt,,1,aplikasi tolol data udah bener bilang gak sesuai sama data emangnya kk sayang bikin dari mna salah bikin sendiri orang bikin dari kelurahan,,,-1
2025-12-01 15:17:43,Ratna Wilis,4.14.0,5,"aplikasi yang sangat membantu, tidak merepotkan juga dan sangat menghemat waktu untuk tidak antri",1,,
2025-12-01 15:17:05,anti_ hijau,4.14.0,5,aplikasi yang sangat membantu,1,,
2025-12-01 15:16:04,Fernando Gilberto Thenu,4.14.0,1,Selalu Log Out kalau update dan juga ngirim kode OTP lewat SMS di tunggu sampai lama pun gk ada menerima kodenya coba lewat email malah tertulis email tidak terdaftar... Aplikasi ini menyulitkan pengguna aja tidak ada solusi yang diberikan.. sangat di sayangkan…,,-1,-1
2025-12-01 15:14:30,Elis Suryani,4.14.0,5,terimakasih 💐💐💐,,,
2025-12-01 14:56:57,Heri Boby,4.14.0,5,Sangat Membantu,1,,
2025-12-01 14:53:16,Sunarto Narto,4.14.0,5,mantab,,,
2025-12-01 14:44:37,sapri wandi hutagalung,4.12.0,4,"kis saya do nonaktifkan, bagaimana cara untuk mengaktifkan kembali. mohon saran",-1,,
2025-12-01 14:32:00,Achmad Iryandi,,5,sangat membantu dalam hal kesehatan,1,,
2025-12-01 14:20:09,Adib Chilmi,4.14.0,5,mudah digunakan,,,
2025-12-01 14:14:09,Aisha Ahmad,,5,terbaik,,,
2025-12-01 14:02:25,tri ayu wulandari,4.14.0,1,minta kode otp lama,,,-1
2025-12-01 14:01:08,Elisigit Pranoto,4.14.0,5,good job,,,
2025-12-01 13:55:59,Android Lahta,2.12.0,1,kok banyak yg mengatasnamakan BPJS Kesehatan padahal diduga pencurian data??,,,
2025-12-01 13:54:56,Blok Patik hilir,4.14.0,5,aplikasi mudah di gunakan,1,,
2025-12-01 13:46:21,ᴀdib,,3,Untuk ubah² data sering error,-1,-1,
2025-12-01 13:42:41,Rini Julianty,4.14.0,3,ribet amat mau daftar online ke pkm tapi banyak gangguan percuma ada jkn mobile ttep harus ngambil antrean ke faskes 1,-1,-1,
2025-12-01 13:40:25,Khakam Malik,4.14.0,1,sumpah gak jelas. logout sendiri. giliran login susah.,,-1,-1
2025-12-01 13:32:43,Rossa Ocha,4.14.0,5,akses mudah..tk perlu ribet,1,,
2025-12-01 13:31:38,Gunawan Wijaya,4.14.0,5,Bpjs Byk menolong warga Indonesia,1,,
2025-12-01 13:26:24,Wanto Pur,4.14.0,5,bagus banget respon cepat,1,,
2025-12-01 13:22:39,Ari Widiyanto,4.12.0,5,ok,,,
2025-12-01 13:20:27,Andi Ratu,4.14.0,5,gmpang dan cepat,1,,
2025-12-01 12:58:44,Herdy Herdy,4.7.0,5,bisa terbantu,1,,
2025-12-01 12:58:02,Heriyanto Armyl,,5,mantap,,,
2025-12-01 12:50:51,endro priyono,4.14.0,5,aplikasinya sangat membantu,1,,
2025-12-01 12:41:24,Muh Sin,4.14.0,3,"mau daptar onlen ko gagal terus,tidak terhubung ke server RS nya.padahal sudah di paskes rujukan.tolong apa kendala nya",-1,-1,
2025-12-01 12:27:22,adip muchammad,4.14.0,1,DULU kontrol ke puskesmas MUDAH. sekarang SULIT dan RUWET sejak muncul aplikasi ini. saya ucapkan TERIMAKASIH sudah MEMPERSULIT pendaftaran ke puskesmas.,-1,,
2025-12-01 12:11:00,Ryan Al-Mahdhy,,5,Terimakasih sangat membantu saya 🙏😊,1,,
2025-12-01 12:09:31,Sri Harti,,5,mempermudah,,,
2025-12-01 12:07:52,Rudy Safar Safarior,4.14.0,3,Login gagal terus,,-1,-1
2025-12-01 12:04:39,ARDI,4.14.0,4,sangat membantu,1,,
2025-12-01 11:55:31,Muhamad Hairul,,1,"gw mo ss gakk bisa, nunjukin no antrian gak bisa karna screenshot ga BS mau Lo apa sih? gak smua org punya paket data. pertimbangkan itu sebelum bikin apps jelek kek gini!",-1,-1,
2025-12-01 11:51:36,Ikhwan Putra,,5,ok,,,
2025-12-01 11:41:45,Poppy Aries,4.14.0,5,sangan bermanfaat,1,,
2025-12-01 11:37:45,Nur Rohman,4.14.0,2,"tolong fitur screenshot jangan di hapus, saya kalo buat laporan rujukan tidak muncul butuh buktinya, la kalo screenshot nya di hilangkan gimana saya ngasih bukti buat laporannya",-1,-1,
2025-12-01 11:07:30,waluyo dwi,4.14.0,5,Bagus sistem nya sangat membantu terima kasih,1,,
2025-12-01 11:02:12,Koirul Soleh,4.14.0,1,aplikasi jkn sering eror daftar Mulu payah harusnya dibuat mudah masyarakat jangan dipersulit tolong jangan erorr trs aplikasinya,-1,-1,
2025-12-01 10:55:01,Yono Rustandi,4.14.0,5,"mudah digunakan, canggih dan jelas data dan menu yang di tampilkan",,,
2025-12-01 10:50:10,manga Channel,4.14.0,1,ribet bnyak gangguan nya,,-1,
2025-12-01 10:49:22,Nur Hapipah,4.14.0,5,sangat bagus,,,
2025-12-01 10:45:39,Vyan Hyde,4.14.0,1,"aplikasi sudah tidak berguna, mau daftar antrian aja selalu dan terus bermasalah, cs jugak gak ada gunanya, laporan juga gak berguna, pokoknya nih aplikasi gak ada gunanya, bug dan selalu banyak masalah.",-1,-1,
2025-12-01 10:42:47,Delia Janu putri,,5,"Data update, sangat menolong... thanks",1,,
2025-12-01 10:41:51,Attitude Aryy,4.14.0,2,kenapa makin ada pembaruan makin buruk? kenapa akun sering keluar akun ( logout server)? kenapa semakin lelet meskipun signal bagus? padahal Oktober sedikit nyaman loh tapi kenapa November sampai awal Desember banyak gangguannya?,,-1,
2025-12-01 10:37:33,Citra Marindra,4.14.0,5,mantap,,,
2025-12-01 10:27:47,Dian Asmarani,4.14.0,5,Sangat membantu dalam mengurus BPJS tidak perlu ke kantor pusat,1,,
2025-12-01 10:27:43,babby 31desember,4.11.2,5,mantap,,,
2025-12-01 10:27:09,Khalif Ramadhani,4.14.0,3,Setelah di-update makin sulit untuk masuk atau login,,-1,-1
2025-12-01 10:26:59,khamid seikatsu,,1,kenapa tagihan bulan desember 2025 2X lipat??? dan saya tidak ada denda apapun,-1,,
2025-12-01 10:24:30,Kinantt,4.14.0,2,"JKN Mobile ini jangan sering logout terus lah, kasihan lansia2, orang2 gaptek atau orang2 yg gak punya smartphone harus numpang ke hp orang lain. Selain itu, gak bisa screen capture pula... makin parah aplikasinya",,-1,
2025-12-01 10:21:35,Ray Bale,4.14.0,5,pelayanannya sangat bermanfaat dan membantu,1,,
2025-12-01 10:19:34,Marlina Marlina,4.14.0,5,bagus cepat sangat fropesional,1,,
2025-12-01 10:18:02,Fauzan Abdullah Ali,4.14.0,5,memuaskan sekali,,,
2025-12-01 10:17:50,fanny channel,4.14.0,1,ga bisa masuk sering log out ..udh d benerin kekantor BPJS tetep ga bisa masuk ribett,,-1,-1
2025-12-01 10:16:12,Reri Vanisa,4.14.0,5,mantappp,,,
2025-12-01 10:13:36,Alim Bahri CIF T7UW_Sungai Kelara Jeneponto,4.13.1,5,sangat membantu dan memudahkan,1,,
2025-12-01 10:12:47,Re Nul,4.14.0,5,baik,,,
2025-12-01 10:07:39,Derizal Putra,4.14.0,5,sangat memudah kan untuk pelayanan kesehatan.,1,,
2025-12-01 10:06:41,deni herdiana,4.14.0,2,logout otomatis mulu padahal gx pernah di logout. alhasil masukin sandi lupa lagi.,,-1,-1
2025-12-01 10:01:55,Hamdan Tojiri,4.14.0,5,aplikasi yg sangat membantu di eradigitalisasi,,,
2025-12-01 10:01:45,Radeya Zaqi,4.14.0,4,agak ribet tapi cukup membantu,,,
2025-12-01 10:00:09,widi mardiansah,4.14.0,1,aplikasi sampah ga guna. ga di logout malah nglogout sndiri. trus masuk ke akun malah ga ada tanggapan masuk email ga bisa otp kluar. ke no ga bisa masuk. aplikasi ga jelas. di saat di butuhkan malah membagongkan,,-1,-1
2025-12-01 9:57:07,fahmi millata zidny,4.14.0,5,ok,,,
2025-12-01 9:54:20,Vico Harianto,4.14.0,1,"error udah mau sebulan,,setiap kali masuk jawabanya coba kembali lagi,coba kembali lagi..itu aja terus.....",,-1,-1
2025-12-01 9:51:14,Ledgermayne,,1,"mobile Jkn sudah 2 hari ini down terus, tidak bisa masuk(login). buat antrian aja tidak bisa di akses, screen shot aja tidak bisa",-1,-1,-1
2025-12-01 9:50:05,Alivia Raehana,,5,bagus apk nya simple,,,
2025-12-01 9:49:14,Rsa Channel,,5,bagus,,,
2025-12-01 9:47:13,Rifqi Tri irawan,4.14.0,5,Mantap,,,
2025-12-01 9:42:37,Widhy Pras,4.14.0,1,"app lemot,katanya mempermudah nyatanya gk bsa d pake karna lemot,lelet",,-1,
2025-12-01 9:42:28,adhitya ilyas,4.14.0,1,ke log out sendiri dan sering muncul notif pembaharua sandi,,-1,-1
2025-12-01 9:42:14,Ferry Sagai,4.14.0,1,PAYAH. Sudah daftar dan sudah bisa login. ... Selalu dibilang salah. Inilah ciri khas layanan pemerintah.,,,-1
2025-12-01 9:38:09,daniel kostan,4.14.0,1,"kenapa lagi ini aplikasi,,dikatakan sudah log out,, padahal logout dgn sendirinya,, pas masuk lagi gak bisa bisa ,, gimana mau daftar online ke poli kalo gini",-1,-1,-1
2025-12-01 9:37:35,Dzikryy Arrafiii,4.14.0,1,"disuruh verifikasi tapi semua opsinya gabisa, pake nomor katanya gaada, pake email gabisa, pake wajah gagal terus walau udh terang kaya disurga",,,-1
2025-12-01 9:35:14,TEGUH AE,,1,selalu logout sendiri katanya masalah device padahal aku cuma pake dan punya 1 hp + pas login ulang captcha nya lama banget,,-1,-1
2025-12-01 9:35:12,Teh Eno,4.14.0,3,Tolong ya apk nya sering log out sendiri,,-1,-1
2025-12-01 9:34:46,Ghoni Aja,,1,"aplikasi aneh,mau daftar aja gak bisa,selalu tulisan offline",-1,-1,
2025-12-01 9:34:41,Rehan Ariel,,1,"gangguan mulu, bela bela in ijin kerja malah gangguan",,-1,
2025-12-01 9:34:09,Harmanico Prasetyo,,1,sering gangguan ruwet mbulet,,-1,
2025-12-01 9:32:41,Ziyan,4.14.0,1,"sampahhhh,asli apk sampah low bnget",,,
2025-12-01 9:32:11,oky octavia,4.12.0,1,"kalo sekarang pendaftaran wajib pake aplikasi, tolong aplikasinya di benahi karna untuk proses login sangat lama. captha yg muncul sangat sangat lama",-1,-1,-1
2025-12-01 9:32:04,Game On!,,1,"aplikasi dlogok,mau login susah bener,hapus aja",,-1,-1
2025-12-01 9:31:06,Martin Wega,4.14.0,3,parah nih BPJS aplikasi eror terus. tolong segera di perhatikan sistem. ini menyangkut orang sakit,-1,-1,
2025-12-01 9:30:27,Ulul Azmi,4.14.0,1,kode verifikasi sangat lama,,,-1
2025-12-01 9:30:22,muhammad irsan,4.14.0,1,aneh sering terjadi susah login 🤔,,-1,-1
2025-12-01 9:30:19,Mister Abu,4.14.0,1,"APLIKASINYA MAKIN DIUPDATE MAKIN BANYAK BUG PARAH NI, HABIS UPDATE CAPTCHA ERROR, SEKALINYA LOGIN UNTUK AMBIL ANTREAN AJA LOADING MPE SUBUH..INI APLIKASI MILIK PEMERINTAH BUKAN? JANGAN KEK SAMPAH DONG, TOLONG.",-1,-1,-1
2025-12-01 9:30:10,Eko S. Haryono,4.14.0,2,servernya error ya,,-1,
2025-12-01 9:30:07,Ikhsan Silverz,4.8.0,1,"tolong kalau bisa jgan loh out otomatis ,, loginnya lagi setengah m0dar......boss",,-1,-1
2025-12-01 9:29:13,Cecep Kurnia,4.14.0,3,sering eror,,-1,
2025-12-01 9:29:01,Rumsah Arum,4.14.0,2,"harus login terus,captcha nya suka error, gabisa di ss untuk kebutuhan ke klinik,mohond diperbaiki",,-1,-1
2025-12-01 9:28:49,KULINO DEWE,,1,loading lama capchta tidak keluar.,,-1,
2025-12-01 9:28:18,Dedy Cahyono,4.14.0,1,tolong perbaiki sistem nya biar GK keluar²sendri kok dah keluar login nya lama,,-1,-1
2025-12-01 9:28:01,mass Genduut,4.14.0,1,"aplikasi muter muter terus, susah login padahal sinyal full",,-1,-1
2025-12-01 9:27:45,Rolif Refo,4.14.0,1,"Untuk daftar akun baru, sangat menyulitkan pada verifikasi wajah untuk orang tua… gagal terus di verifikasi wajah.",,,-1
2025-12-01 9:26:46,Syahrul Choirul Anam,,1,aplikasi busuk,,-1,
2025-12-01 9:26:41,Usta Nugraha,4.14.0,2,"ini captcha nya benerin, masa muter² doang ngga ada kata yang keluar",,-1,-1
2025-12-01 9:26:12,google Playyaa,4.14.0,1,APALAHH CAPTCHANYAA ITUU LOHH… capcha malah “terjadi kesalahan”,,-1,-1
2025-12-01 9:23:57,Hairul Rul,,1,sering bermasalah aplikasi menyusahkan kasian orang yg tua2 yg tidak mengerti,,-1,
2025-12-01 9:23:36,Firmana Danil,,1,lemot,,-1,
2025-12-01 9:23:32,Bima Angga,4.14.0,3,"log out, masuk tidak bisa, error, anda sering device berbeda… tolong bgt ini apk BUMN",,-1,-1
2025-12-01 9:23:22,Exselvernaldo,4.14.0,1,logout lalu ketika login selalu error,,-1,-1
2025-12-01 9:22:03,RENDY IRAWAN S,4.13.1,1,bosok,,,
2025-12-01 9:20:54,Sharly Marchela,4.14.0,3,Kesel banget ihh kalo ada pembaruan data atau mau daftar autodebit selalu eror cape,,-1,
2025-12-01 9:20:34,Cindy Annigi,4.13.1,2,"kenapa auto logout akun saya, padahal gak di apa apain dan gakbisa daftar antrian",-1,-1,-1
2025-12-01 9:19:08,Elang Maulana,4.14.0,1,"Apk dari kepemerintahan semuanya ngeleg, kayak gak niat buat aplikasi.",,-1,
2025-12-01 9:12:41,M.ibrahim Zidane,4.14.0,1,aneh ngga bisa daftar,-1,-1,
2025-12-01 9:12:13,Mizan,4.14.0,2,Ndlogok kode verifikasi malah kekirim ke nomor orang lain ki priye,,,-1
2025-12-01 9:10:55,Rindhy Dwi Noviana,4.14.0,1,mau ganti nomor HP aja nggak bisa… field tanggal lahir belum diisi padahal tidak ada kolomnya.,,,-1
2025-12-01 9:08:04,lilismaryantik55,4.14.0,5,Satpam Ramah..Jkn Mobile Mantap,,,
2025-12-01 9:07:20,Arie Ollong,4.14.0,5,sangat bagus,,,
2025-12-01 9:01:05,Katemi Wanita harimau,,1,"data ada dua jiwa tapi tidak terbaca,, sering offline dan coba lagi",-1,-1,
2025-12-01 8:59:25,Tiyar,,3,sering eror masa harus log in Mulu Hadehhh,,-1,-1
2025-12-01 8:54:59,Neneng Setiawati,,5,Good,,,
2025-12-01 8:54:21,Upik Supriati,4.14.0,3,"susah banget mau daftar login, sudah verifikasi email error ulang lagi…",,-1,-1
2025-12-01 8:49:44,arma syafiq,4.14.0,5,cepat dan mudah,,,
2025-12-01 8:49:28,Riska Rahmawati,,2,"Aplikasi sering logout sendiri, mohon diperbaiki… akhirnya datanya hilang",-1,-1,-1
2025-12-01 8:47:25,Neneng Suryani,4.14.0,1,ribet pake online seperti ini… log out sendiri… daftar lagi… loading minta ampun,-1,-1,-1
2025-12-01 8:44:38,KhamdanKrj Geografi21,,5,mantap memudahkan pengguna,1,,
2025-12-01 8:44:07,Kasman Andari,4.14.0,1,masa setiap kali login harus verifikasi terus,,,-1
2025-12-01 8:38:27,Harry Prasetyo bin Sihadi Hadi Suwito,4.14.0,1,buruk.. tahu2 logout sendiri mau login susah amat… tp SDMnya belum siap jd ruwet,,-1,
2025-12-01 8:36:57,Amir Setiawan,4.14.0,1,"JKN gak guna, udahmah lagi buru buru mau darurat di RS, gak bisa masuk log out terus…",-1,-1,-1
2025-12-01 8:35:38,X Suganda,,2,apk apa si ini sering banget eror.. mau digunakan juga bikin susah,,-1,
2025-12-01 8:35:15,Nurul Hidayah,4.14.0,1,"pdhal kmrin udh login, tbtb hari ini logout sendiri. mau login lagi diblg offline terusss!!!!!",,-1,-1
2025-12-01 8:34:32,Arif Rudyansa,4.14.0,1,"sering gak muncul putih terus layarnya, kebanyakan muter"", tiba"" keluar sendiri trs disuruh daftar ulang, saya sudah daftar online tapi gak kebaca di RS nya.",-1,-1,
2025-12-01 8:33:47,Hermalia Putri,4.14.0,1,makin kesini makin susah di log in ngeleg,,-1,-1
2025-12-01 8:33:12,Adi Kudil,4.14.0,1,APLIKASI KEBANYAKAN BUG GAJELAS NGEBANTU JUGA KAGA,,-1,
2025-12-01 8:31:26,Khoirul Anam 015,4.14.0,1,"aplikasi tersampah menurut gua yah ini, masak ke puskesmas daftar lewat aplikasi dulu ambil antrean sedangkan aplikasi lemot gk ngotak ujung2nya gak bisa data belum masuk yah terpaksa ikut umum biar cepet , plis kalau antri2 gak usah pakek aplikasi trobel gini",-1,-1,
2025-12-01 8:31:01,Aam Amanisah Zahra,,1,kenapa ini aplikasi eror mulu saya mau bayar iuran loh malah log out teruss ampun parahh jelek bgt dari semalem masih aja begitu,-1,-1,-1
2025-12-01 8:30:45,Pola Kesana,,1,lemot,,-1,
2025-12-01 8:30:16,Faiz Nabil Ridwan082,4.14.0,1,aplikasi selalu lemot padahal jaringan bagus ANEH,,-1,
2025-12-01 8:29:39,Edy Sucipto,4.14.0,5,Sangat membantu dalam proses penangan kasus,1,,
2025-12-01 8:29:37,Muhammadin Laisari,4.14.0,5,sangat membantu sekali,1,,
2025-12-01 8:28:53,tio ahmad,4.14.0,1,tolong ini aplikasi engga bisa masuk,,-1,-1
2025-12-01 8:28:12,novy azhyzah,4.14.0,2,"kode captcha tidak mau keluar, mohon solusinya. saya lupa password.",,-1,-1
2025-12-01 8:28:05,seputar bola,4.14.0,1,"kenapa ya kok sering suruh login, pdahal sudah pernah login, masa 1 hari daftar login 3x 😭 itupun eror ndak bisa login",,-1,-1
2025-12-01 8:27:19,tri Harmadi,4.14.0,5,"skrng apa2 harus pake JKN tp peforma nya kurang, menyulitkan kami pas mau registrasi 😌",-1,-1,
2025-12-01 8:26:35,Arsyad channel,,1,"login ajah keluar terus, ga bisa di akses👎",,-1,-1
2025-12-01 8:25:40,Ricky Aditya Pradana,4.14.0,1,"kalo habis perbaikan jaringan pasti aja logout sendiri akun nya, mau login juga gabisa karena server offline mulu, tolong lah di benerin servernya, orang mau berobat ambil antrian online jadi susah!!!!",-1,-1,-1
2025-12-01 8:25:29,Muhammad Rafli,4.14.0,1,sinyal sudah oke tapi gangguan trus bahkan disaat mau daftar ke poli tidak bisa terhubung dengan rs dan server sering ke logout sendiri.,-1,-1,-1
2025-12-01 8:24:50,aysiahtirta 888,,1,"Halo, saya masih mengalami masalah update alamat di aplikasi. Setiap submit selalu batal. Mohon dibantu supaya alamat saya sesuai KTP. Terima kasih banyak",-1,-1,
2025-12-01 8:22:49,Ria Oktavia,4.14.0,1,"aplikasi ter ndk jelaa tahun ini, no hp sy d pke sm org gk tau itu siapa. smua2 d persulit, aplikasi ribet, nyusahin , ndk jelas...",,,-1
2025-12-01 8:20:53,Rizki Sandi,4.14.0,1,"lama, terus banyak error. kapan benernya Indonesia punya aplikasi begini mulu",,-1,
2025-12-01 8:20:00,nhieyar destria,4.14.0,4,kenapa ya ahir2 ini gangguan trs aplikasinya.. trs suka ke logout sendiri. mau daftar loginyya lama banget . awalnya baik2 aja skrg2 banyak gangguannya,-1,-1,-1
